"metadata_ESTCID,""Freq"",""TotalLength"""
"T072057,""2"",""72363"""
"N008499,""4"",""117259"""
"T138215,""6"",""1470041"""
"T122315,""2"",""5365"""
"T111259,""2"",""22337"""
"T010792,""4"",""42233"""
"T090117,""2"",""91555"""
"T121378,""2"",""91194"""
"T016296,""2"",""25686"""
"N009576,""2"",""53292"""
"T127430,""6"",""92724"""
"T145057,""4"",""510308"""
"T107821,""2"",""22294"""
"T047983,""2"",""7380"""
"T081254,""2"",""42373"""
"T056800,""4"",""42672"""
"T133875,""2"",""117910"""
"T035302,""2"",""12014"""
"T070939,""4"",""50259"""
"T070676,""2"",""22009"""
"T064548,""2"",""7331"""
"T090203,""2"",""67734"""
"T138709,""2"",""1417039"""
"T033399,""4"",""89059"""
"T096549,""4"",""48819"""
"N001727,""2"",""3233"""
"N010667,""2"",""2701"""
"T011210,""2"",""145955"""
"T083503,""2"",""89384"""
"T154544,""4"",""263954"""
"T071030,""2"",""72181"""
"N022190,""2"",""67025"""
"T088713,""136"",""684168"""
"T109345,""4"",""85822"""
"T054266,""4"",""40373"""
"T112334,""2"",""25665"""
"T086191,""14"",""42967"""
"T143229,""4"",""12645"""
"T033847,""2"",""71337"""
"N016766,""2"",""17555"""
"T028423,""2"",""7695"""
"T064795,""2"",""66296"""
"T063350,""2"",""4135"""
"T056443,""6"",""29198"""
"T088479,""2"",""65621"""
"T209353,""2"",""86513"""
"T193581,""2"",""7261"""
"T046374,""2"",""42298"""
"T145739,""4"",""116637"""
"T145816,""2"",""153086"""
"T030993,""2"",""43037"""
"T145739,""4"",""116637"""
"N056167,""2"",""17585"""
"N050116,""2"",""66060"""
"T101010,""2"",""67808"""
"T128406,""2"",""7331"""
"N012214,""2"",""3326"""
"T032773,""2"",""17597"""
"T160141,""2"",""123112"""
"N006879,""2"",""116612"""
"T145739,""4"",""116637"""
"T139767,""2"",""70779"""
"T033285,""2"",""12699"""
"T141034,""4"",""5456"""
"T144771,""2"",""43838"""
"T071220,""2"",""19232"""
"T192851,""2"",""68557"""
"T083934,""2"",""67874"""
"T107677,""6"",""67193"""
"N003684,""2"",""21946"""
"T186207,""2"",""43482"""
"T066776,""8"",""42219"""
"T084579,""4"",""29214"""
"N050176,""2"",""266441"""
"W031740,""6"",""29162"""
"N012640,""2"",""7347"""
"W007255,""2"",""4164"""
"T131033,""2"",""76004"""
"P002032,""2"",""68159"""
"W005005,""2"",""20967"""
"N035342,""4"",""95903"""
"T147414,""2"",""263894"""
"T070285,""2"",""13133"""
"T107760,""2"",""408440"""
"T001509,""2"",""45602"""
"T132219,""2"",""66644"""
"N028751,""2"",""12355"""
"T078408,""2"",""17801"""
"N021542,""2"",""66731"""
"T083247,""2"",""127156"""
"T129620,""2"",""66065"""
"T096961,""2"",""44781"""
"T109496,""2"",""263708"""
"T132060,""2"",""79405"""
"N016940,""2"",""66446"""
"T066502,""2"",""24989"""
"T141034,""2"",""1051"""
"T026231,""2"",""7385"""
"T016283,""2"",""11838"""
"T099202,""4"",""117019"""
"T147414,""2"",""264418"""
"T106551,""2"",""10698"""
"T145648,""2"",""88153"""
"T141294,""4"",""48839"""
"T144267,""2"",""42777"""
"N010283,""2"",""1148"""
"T080462,""2"",""71166"""
"T068455,""4"",""29830"""
"T112166,""2"",""4124"""
"T186374,""2"",""29219"""
"T146092,""2"",""72891"""
"T012997,""2"",""7840"""
"P002032,""2"",""74621"""
"T018201,""2"",""11925"""
"P006125,""2"",""66891"""
"T030239,""6"",""1756"""
"N014369,""2"",""179459"""
"T135115,""2"",""202388"""
"T169001,""2"",""6809"""
"T017484,""8"",""21552"""
"T145739,""4"",""116893"""
"T071511,""2"",""17007"""
"T108494,""4"",""7764"""
"P002248,""2"",""262668"""
"T079990,""2"",""86410"""
"T231462,""8"",""22074"""
"T011256,""2"",""11251"""
"T087615,""2"",""9441"""
"T145043,""2"",""10495"""
"N001347,""2"",""11051"""
"T188569,""2"",""96604"""
"T130681,""4"",""117007"""
"N003704,""2"",""184309"""
"T097744,""2"",""29165"""
"N000797,""2"",""182701"""
"T228403,""2"",""18673"""
"W029582,""2"",""66500"""
"T086069,""2"",""263658"""
"T103619,""2"",""4140"""
"T111443,""2"",""42780"""
"T070299,""2"",""42746"""
"N036945,""2"",""16943"""
"T109501,""2"",""16431"""
"T224226,""2"",""16674"""
"T135264,""2"",""118363"""
"T040583,""2"",""45101"""
"N013006,""2"",""5989"""
"T094666,""4"",""16841"""
"T061759,""2"",""94312"""
"T149593,""2"",""264876"""
"T145210,""26"",""466778"""
"T113264,""2"",""2637"""
"T110030,""2"",""17709"""
"T109936,""10"",""95790"""
"T011396,""4"",""1153"""
"T221264,""4"",""4136"""
"T046799,""2"",""7368"""
"T130771,""2"",""86989"""
"T035907,""2"",""10584"""
"N068855,""2"",""172013"""
"T145739,""4"",""117375"""
"T038368,""2"",""27056"""
"T131788,""2"",""17507"""
"N008716,""4"",""66527"""
"T127975,""2"",""22875"""
"T083275,""2"",""88974"""
