ESTC	geonameid	name	asciiname	latitude	longitude	country.code	admin1	admin2	admin3	admin4	population	timezone
Norfolk Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
North Shields	2641267	North Shields	North Shields	55.01646	-1.44925	GB	ENG	J5			39747	Europe/London
Northallerton	2641435	Northallerton	Northallerton	54.33901	-1.43243	GB	ENG	J7	36UC		16480	Europe/London
Northampton	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Northampton Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Norwich	2641181	Norwich	Norwich	52.62783	1.29834	GB	ENG	I9	33UG		177636	Europe/London
Norwich Ct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nottingham	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oxford	5130319	Oxford	Oxford	51.75222	-1.25596	US	NY	017			1450	America/New_York
Paisley	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Paris	2988507	Paris	Paris	48.85341	2.3488	FR	A8	75	751	75056	2138551	Europe/Paris
Paris Ky	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pembroke Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Penrith	2153471	Penrith	Penrith	-33.75	150.7	AU	02	16350			11813	Australia/Sydney
Perth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Peterborough	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Petersburg Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Philadelphia Pa	4560349	Philadelphia	Philadelphia	39.95233	-75.16379	US	PA	101			1526006	America/New_York
Plymouth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Poole	2640101	Poole	Poole	50.71429	-1.98458	GB	ENG	K5			150092	Europe/London
Portland Me	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portsmouth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Portsmouth N.H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Preston	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Providence R.I	NA	NA	NA	41.8384163	-71.4256989	NA	NA	NA	NA	NA	NA	NA
Quebec	6325494	Québec	Quebec	46.81228	-71.21454	CA	10				528595	America/Toronto
Reading	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Reading Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Regensburg	3076084	Grygov	Grygov	58.34194	26.31472	EE	18	0605			1072	Europe/Tallinn
Reims	2984114	Reims	Reims	49.25	4.03333	FR	A4	51	513	51454	196565	Europe/Paris
Richmond	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Richmond Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rochdale	2639272	Rochdale	Rochdale	53.61766	-2.1552	GB	ENG	L2	30UM		97550	Europe/London
Rochester	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodborough	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Romsey	2639189	Romsey	Romsey	50.98906	-1.49989	GB	ENG	F2	24UN		17773	Europe/London
Roscrea	2961730	Roscrea	Roscrea	52.95111	-7.80167	IE	M	26			5403	Europe/Dublin
Roseau Dominica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rotterdam	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rouen	2982652	Rouen	Rouen	49.44313	1.09932	FR	A7	76	763	76540	112787	Europe/Paris
Rutland Vt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Saarbrucken	3076084	Grygov	Grygov	58.34194	26.31472	EE	18	0605			1072	Europe/Tallinn
Salamanca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salem Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salisbury	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salisbury Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salisbury N.C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Savannah Ga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sheffield	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Shelburne Nova Scotia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sherborne	2636713	Stratford-upon-Avon	Stratford-upon-Avon	51.06931	-1.79569	GB	ENG	P8	00HY261		45600	Europe/London
Shiffnal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Shrewsbury	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Siena	3166548	Siena	Siena	43.31822	11.33064	IT	16	SI	052032		42867	Europe/Rome
Sligo	2961423	Sligo	Sligo	54.26969	-8.46943	IE	C	25			20228	Europe/Dublin
South Shields	2636713	Stratford-upon-Avon	Stratford-upon-Avon	51.06931	-1.79569	GB	ENG	P8	00HY261		45600	Europe/London
Southampton	5139030	Southampton	Southampton	50.90395	-1.40428	US	NY	103			3109	America/New_York
Spanish Town Jamaica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
